,name,position,team,game_id,player_id
0,Heurelho Gomes,XX,Watford,24,1118
1,Kiko Femenía,DF,Watford,24,44241
2,Prödl,DF,Watford,24,13359
3,Kabasele,DF,Watford,24,50762
4,Britos,DF,Watford,24,16383
5,Chalobah,DM,Watford,24,53522
6,Doucoure,MF,Watford,24,75703
7,Amrabat,FW,Watford,24,12383
8,Cleverley,MF,Watford,24,39422
9,Richarlison,FW,Watford,24,108947
10,Gray,FW,Watford,24,47270
11,Ryan,XX,Brighton & Hove Albion,24,41314
12,Bruno,DF,Brighton & Hove Albion,24,11646
13,Duffy,DF,Brighton & Hove Albion,24,35497
14,Dunk,DF,Brighton & Hove Albion,24,47238
15,Suttner,DF,Brighton & Hove Albion,24,23019
16,Stephens,MF,Brighton & Hove Albion,24,20617
17,Propper,MF,Brighton & Hove Albion,24,39059
18,Knockaert,MF,Brighton & Hove Albion,24,50870
19,Groß,AM,Brighton & Hove Albion,24,34541
20,March,MF,Brighton & Hove Albion,24,76485
21,Hemed,FW,Brighton & Hove Albion,24,6487
22,De Gea,XX,Manchester United,25,41206
23,Valencia,DF,Manchester United,25,1820
24,Bailly,DF,Manchester United,25,94695
25,Jones,DF,Manchester United,25,40780
26,Blind,DF,Manchester United,25,31226
27,Matić,DM,Manchester United,25,31740
28,Mata,AM,Manchester United,25,10723
29,Pogba,MF,Manchester United,25,56805
30,Mkhitaryan,AM,Manchester United,25,18525
31,Martial,FW,Manchester United,25,76346
32,Lukaku,FW,Manchester United,25,38757
33,Schmeichel,XX,Leicester City,25,6670
34,Simpson,DF,Leicester City,25,7776
35,Morgan,DF,Leicester City,25,25714
36,Maguire,DF,Leicester City,25,57627
37,Fuchs,DF,Leicester City,25,13361
38,James,MF,Leicester City,25,40889
39,Ndidi,DM,Leicester City,25,80418
40,Mahrez,FW,Leicester City,25,73506
41,Okazaki,FW,Leicester City,25,24460
42,Albrighton,MF,Leicester City,25,32680
43,Vardy,FW,Leicester City,25,63664
44,Courtois,XX,Chelsea,26,34241
45,Azpilicueta,DF,Chelsea,26,6743
46,David Luiz,DF,Chelsea,26,6659
47,Rüdiger,DF,Chelsea,26,61115
48,Moses,MF,Chelsea,26,19680
49,Fàbregas,AM,Chelsea,26,239
50,Kanté,DM,Chelsea,26,73549
51,Marcos Alonso,DF,Chelsea,26,46166
52,Willian,FW,Chelsea,26,10229
53,Pedro,FW,Chelsea,26,15486
54,Morata,FW,Chelsea,26,54733
55,Pickford,XX,Everton,26,67696
56,Williams,DF,Everton,26,25653
57,Keane,DF,Everton,26,64551
58,Jagielka,DF,Everton,26,1809
59,Holgate,DF,Everton,26,97008
60,Gueye,DM,Everton,26,44582
61,Davies,MF,Everton,26,109026
62,Baines,DF,Everton,26,1819
63,Rooney,FW,Everton,26,57
64,Sigurðsson,AM,Everton,26,25685
65,Sandro Ramirez,FW,Everton,26,82288
66,Foster,XX,West Bromwich Albion,27,1885
67,Nyom,DF,West Bromwich Albion,27,53041
68,Dawson,DF,West Bromwich Albion,27,47245
69,Hegazy,DF,West Bromwich Albion,27,40854
70,Brunt,MF,West Bromwich Albion,27,9064
71,Livermore,DM,West Bromwich Albion,27,40010
72,Barry,DM,West Bromwich Albion,27,786
73,Phillips,FW,West Bromwich Albion,27,28838
74,Morrison,MF,West Bromwich Albion,27,669
75,Rodriguez,FW,West Bromwich Albion,27,25205
76,Rondón,FW,West Bromwich Albion,27,35222
77,Butland,XX,Stoke City,27,61705
78,Zouma,DF,Stoke City,27,62935
79,Shawcross,DF,Stoke City,27,11889
80,Martins Indi,DF,Stoke City,27,52257
81,Cameron,DF,Stoke City,27,18217
82,Fletcher,MF,Stoke City,27,54
83,Allen,MF,Stoke City,27,22845
84,Pieters,DF,Stoke City,27,2302
85,Shaqiri,FW,Stoke City,27,36861
86,Jesé,FW,Stoke City,27,66640
87,Choupo Moting,FW,Stoke City,27,11127
88,Karius,XX,Liverpool,28,74182
89,Gomez,DF,Liverpool,28,93605
90,Matip,DF,Liverpool,28,42117
91,Lovren,DF,Liverpool,28,24024
92,Alberto,DF,Liverpool,28,69609
93,Can,DM,Liverpool,28,67096
94,Henderson,MF,Liverpool,28,30627
95,Wijnaldum,MF,Liverpool,28,7404
96,Salah,FW,Liverpool,28,71707
97,Roberto Firmino,FW,Liverpool,28,54804
98,Mané,FW,Liverpool,28,72713
99,Cech,XX,Arsenal,28,114
100,Holding,DF,Arsenal,28,100392
101,Koscielny,DF,Arsenal,28,23147
102,Monreal,DF,Arsenal,28,2892
103,Oxlade Chamberlain,MF,Arsenal,28,46038
104,Ramsey,MF,Arsenal,28,14113
105,Xhaka,DM,Arsenal,28,49774
106,Bellerín,DF,Arsenal,28,71533
107,Özil,AM,Arsenal,28,2070
108,Sanchez,FW,Arsenal,28,7165
109,Welbeck,FW,Arsenal,28,26294
110,Lloris,XX,Tottenham Hotspur,29,2610
111,Trippier,DF,Tottenham Hotspur,29,40791
112,Alderweireld,DF,Tottenham Hotspur,29,31872
113,Vertonghen,DF,Tottenham Hotspur,29,849
114,Davies,DF,Tottenham Hotspur,29,74374
115,Dier,DM,Tottenham Hotspur,29,55465
116,Dembélé,MF,Tottenham Hotspur,29,2323
117,Eriksen,AM,Tottenham Hotspur,29,44435
118,Heung-Min Son,FW,Tottenham Hotspur,29,48353
119,Alli,AM,Tottenham Hotspur,29,74303
120,Kane,FW,Tottenham Hotspur,29,41936
121,Heaton,XX,Burnley,29,6631
122,Lowton,DF,Burnley,29,42552
123,Tarkowski,DF,Burnley,29,55365
124,Mee,DF,Burnley,29,40793
125,Ward,DF,Burnley,29,8614
126,Cork,DM,Burnley,29,12857
127,Defour,MF,Burnley,29,9295
128,Guðmundsson,FW,Burnley,29,49182
129,Brady,MF,Burnley,29,53118
130,Arfield,MF,Burnley,29,11480
131,Vokes,FW,Burnley,29,22853
132,Ederson Moraes,XX,Manchester City,30,74330
133,Walker,DF,Manchester City,30,37666
134,Danilo,DF,Manchester City,30,50348
135,Stones,DF,Manchester City,30,58793
136,Otamendi,DF,Manchester City,30,21163
137,Mendy,DF,Manchester City,30,62657
138,De Bruyne,AM,Manchester City,30,34705
139,Fernandinho,DM,Manchester City,30,6084
140,Silva,AM,Manchester City,30,861
141,Agüero,FW,Manchester City,30,874
142,Gabriel Jesus,FW,Manchester City,30,100929
143,Mignolet,XX,Liverpool,30,14326
144,Arnold,DF,Liverpool,30,110457
145,Matip,DF,Liverpool,30,42117
146,Klavan,DF,Liverpool,30,2440
147,Alberto,DF,Liverpool,30,69609
148,Wijnaldum,MF,Liverpool,30,7404
149,Henderson,MF,Liverpool,30,30627
150,Can,DM,Liverpool,30,67096
151,Salah,FW,Liverpool,30,71707
152,Roberto Firmino,FW,Liverpool,30,54804
153,Mané,FW,Liverpool,30,72713
154,Cech,XX,Arsenal,31,114
155,Koscielny,DF,Arsenal,31,23147
156,Mustafi,DF,Arsenal,31,34535
157,Monreal,DF,Arsenal,31,2892
158,Bellerín,DF,Arsenal,31,71533
159,Ramsey,MF,Arsenal,31,14113
160,Xhaka,DM,Arsenal,31,49774
161,Kolašinac,DF,Arsenal,31,67934
162,Özil,AM,Arsenal,31,2070
163,Welbeck,FW,Arsenal,31,26294
164,Lacazette,FW,Arsenal,31,46410
165,Begović,XX,Bournemouth,31,21972
166,Smith,DF,Bournemouth,31,43394
167,Cook,DF,Bournemouth,31,30461
168,Aké,DF,Bournemouth,31,71946
169,Mings,DF,Bournemouth,31,77073
170,Daniels,DF,Bournemouth,31,46020
171,King,FW,Bournemouth,31,40835
172,Arter,MF,Bournemouth,31,13884
173,Gosling,MF,Bournemouth,31,13449
174,Fraser,MF,Bournemouth,31,54000
175,Defoe,FW,Bournemouth,31,588
176,Ryan,XX,Brighton & Hove Albion,32,41314
177,Bruno,DF,Brighton & Hove Albion,32,11646
178,Duffy,DF,Brighton & Hove Albion,32,35497
179,Dunk,DF,Brighton & Hove Albion,32,47238
180,Suttner,DF,Brighton & Hove Albion,32,23019
181,Knockaert,MF,Brighton & Hove Albion,32,50870
182,Stephens,MF,Brighton & Hove Albion,32,20617
183,Propper,MF,Brighton & Hove Albion,32,39059
184,March,MF,Brighton & Hove Albion,32,76485
185,Hemed,FW,Brighton & Hove Albion,32,6487
186,Groß,AM,Brighton & Hove Albion,32,34541
187,Foster,XX,West Bromwich Albion,32,1885
188,Dawson,DF,West Bromwich Albion,32,47245
189,Evans,DF,West Bromwich Albion,32,7777
190,Hegazy,DF,West Bromwich Albion,32,40854
191,Nyom,DF,West Bromwich Albion,32,53041
192,Phillips,FW,West Bromwich Albion,32,28838
193,Livermore,DM,West Bromwich Albion,32,40010
194,Krychowiak,DM,West Bromwich Albion,32,10589
195,Barry,DM,West Bromwich Albion,32,786
196,Rodriguez,FW,West Bromwich Albion,32,25205
197,Rondón,FW,West Bromwich Albion,32,35222
198,Pickford,XX,Everton,33,67696
199,Martina,DF,Everton,33,30280
200,Keane,DF,Everton,33,64551
201,Williams,DF,Everton,33,25653
202,Baines,DF,Everton,33,1819
203,Gueye,DM,Everton,33,44582
204,Schneiderlin,DM,Everton,33,11225
205,Klaassen,AM,Everton,33,66355
206,Rooney,FW,Everton,33,57
207,Sigurðsson,AM,Everton,33,25685
208,Sandro Ramirez,FW,Everton,33,82288
209,Lloris,XX,Tottenham Hotspur,33,2610
210,Trippier,DF,Tottenham Hotspur,33,40791
211,Alderweireld,DF,Tottenham Hotspur,33,31872
212,Sánchez,DF,Tottenham Hotspur,33,84584
213,Vertonghen,DF,Tottenham Hotspur,33,849
214,Davies,DF,Tottenham Hotspur,33,74374
215,Sissoko,MF,Tottenham Hotspur,33,11229
216,Dier,DM,Tottenham Hotspur,33,55465
217,Alli,AM,Tottenham Hotspur,33,74303
218,Eriksen,AM,Tottenham Hotspur,33,44435
219,Kane,FW,Tottenham Hotspur,33,41936
220,Schmeichel,XX,Leicester City,34,6670
221,Simpson,DF,Leicester City,34,7776
222,Morgan,DF,Leicester City,34,25714
223,Maguire,DF,Leicester City,34,57627
224,Fuchs,DF,Leicester City,34,13361
225,James,MF,Leicester City,34,40889
226,Ndidi,DM,Leicester City,34,80418
227,Mahrez,FW,Leicester City,34,73506
228,Slimani,FW,Leicester City,34,77437
229,Albrighton,MF,Leicester City,34,32680
230,Vardy,FW,Leicester City,34,63664
231,Courtois,XX,Chelsea,34,34241
232,Azpilicueta,DF,Chelsea,34,6743
233,David Luiz,DF,Chelsea,34,6659
234,Rüdiger,DF,Chelsea,34,61115
235,Moses,MF,Chelsea,34,19680
236,Kanté,DM,Chelsea,34,73549
237,Bakayoko,DM,Chelsea,34,82228
238,Marcos Alonso,DF,Chelsea,34,46166
239,Pedro,FW,Chelsea,34,15486
240,Fàbregas,AM,Chelsea,34,239
241,Morata,FW,Chelsea,34,54733
242,Forster,XX,Southampton,35,13876
243,Cédric,DF,Southampton,35,46131
244,Stephens,DF,Southampton,35,53396
245,Hoedt,DF,Southampton,35,85663
246,Bertrand,DF,Southampton,35,20621
247,Davis,MF,Southampton,35,791
248,Romeu,DM,Southampton,35,40786
249,Boufal,MF,Southampton,35,97253
250,Ward-Prowse,MF,Southampton,35,65842
251,Redmond,FW,Southampton,35,52548
252,Gabbiadini,FW,Southampton,35,46030
253,Heurelho Gomes,XX,Watford,35,1118
254,Kiko Femenía,DF,Watford,35,44241
255,Kaboul,DF,Watford,35,2832
256,Kabasele,DF,Watford,35,50762
257,Holebas,DF,Watford,35,13199
258,Doucoure,MF,Watford,35,75703
259,Chalobah,DM,Watford,35,53522
260,Carrillo,FW,Watford,35,55420
261,Cleverley,MF,Watford,35,39422
262,Richarlison,FW,Watford,35,108947
263,Gray,FW,Watford,35,47270
264,Butland,XX,Stoke City,36,61705
265,Zouma,DF,Stoke City,36,62935
266,Cameron,DF,Stoke City,36,18217
267,Wimmer,DF,Stoke City,36,58971
268,Diouf,FW,Stoke City,36,18699
269,Allen,MF,Stoke City,36,22845
270,Fletcher,MF,Stoke City,36,54
271,Pieters,DF,Stoke City,36,2302
272,Shaqiri,FW,Stoke City,36,36861
273,Choupo Moting,FW,Stoke City,36,11127
274,Jesé,FW,Stoke City,36,66640
275,De Gea,XX,Manchester United,36,41206
276,Valencia,DF,Manchester United,36,1820
277,Bailly,DF,Manchester United,36,94695
278,Jones,DF,Manchester United,36,40780
279,Darmian,DF,Manchester United,36,8911
280,Herrera,MF,Manchester United,36,40043
281,Matić,DM,Manchester United,36,31740
282,Mkhitaryan,AM,Manchester United,36,18525
283,Pogba,MF,Manchester United,36,56805
284,Rashford,FW,Manchester United,36,105232
285,Lukaku,FW,Manchester United,36,38757
286,Heaton,XX,Burnley,37,6631
287,Lowton,DF,Burnley,37,42552
288,Tarkowski,DF,Burnley,37,55365
289,Mee,DF,Burnley,37,40793
290,Ward,DF,Burnley,37,8614
291,Guðmundsson,FW,Burnley,37,49182
292,Defour,MF,Burnley,37,9295
293,Cork,DM,Burnley,37,12857
294,Brady,MF,Burnley,37,53118
295,Wood,FW,Burnley,37,34201
296,Vokes,FW,Burnley,37,22853
297,Hennessey,XX,Crystal Palace,37,8611
298,Ward,DF,Crystal Palace,37,27074
299,Fosu-Mensah,DF,Crystal Palace,37,105224
300,Dann,DF,Crystal Palace,37,25680
301,Schlupp,DF,Crystal Palace,37,57386
302,Cabaye,MF,Crystal Palace,37,2776
303,Townsend,FW,Crystal Palace,37,45908
304,McArthur,MF,Crystal Palace,37,21554
305,Puncheon,MF,Crystal Palace,37,25843
306,CY Lee,MF,Crystal Palace,37,24484
307,Benteke,FW,Crystal Palace,37,16811
308,Fabiański,XX,Swansea City,38,347
309,Naughton,DF,Swansea City,38,16232
310,Fernández,DF,Swansea City,38,26953
311,Mawson,DF,Swansea City,38,82782
312,Olsson,DF,Swansea City,38,11655
313,Renato Sanches,MF,Swansea City,38,100242
314,Clucas,MF,Swansea City,38,48117
315,Carroll,MF,Swansea City,38,55735
316,Fer,MF,Swansea City,38,15022
317,Ayew,FW,Swansea City,38,43399
318,Abraham,FW,Swansea City,38,97303
319,Elliot,XX,Newcastle United,38,25215
320,Javi Manquillo,DF,Newcastle United,38,70244
321,Lascelles,DF,Newcastle United,38,67932
322,Clark,DF,Newcastle United,38,39242
323,Jesús Gámez,DF,Newcastle United,38,3344
324,Hayden,DM,Newcastle United,38,83862
325,Merino,DM,Newcastle United,38,94022
326,Ritchie,MF,Newcastle United,38,39240
327,Ayoze Perez,AM,Newcastle United,38,84116
328,Murphy,FW,Newcastle United,38,86163
329,Joselu,FW,Newcastle United,38,40193
330,Hart,XX,West Ham United,39,3184
331,José Fonte,DF,West Ham United,39,3693
332,Reid,DF,West Ham United,39,6211
333,Collins,DF,West Ham United,39,971
334,Zabaleta,DF,West Ham United,39,1613
335,Obiang,MF,West Ham United,39,53286
336,Kouyaté,DM,West Ham United,39,15881
337,Cresswell,DF,West Ham United,39,44073
338,Antonio,MF,West Ham United,39,40028
339,Hernández,FW,West Ham United,39,16954
340,Carroll,FW,West Ham United,39,4054
341,Lössl,XX,Huddersfield Town,39,19553
342,Smith,DF,Huddersfield Town,39,82894
343,Zanka,DF,Huddersfield Town,39,10741
344,Schindler,DF,Huddersfield Town,39,53718
345,Löwe,DF,Huddersfield Town,39,51480
346,Billing,MF,Huddersfield Town,39,89172
347,Kachunga,FW,Huddersfield Town,39,51868
348,Ince,MF,Huddersfield Town,39,50793
349,Mooy,MF,Huddersfield Town,39,41166
350,van La Parra,FW,Huddersfield Town,39,25218
351,Mounié,FW,Huddersfield Town,39,82272
